region year litter_type ground litter mortality
south 2005 fine_woody_litter above 0.00915491185355012 natural
south 2006 fine_woody_litter above 0.00915973444386995 natural
south 2007 fine_woody_litter above 0.00916537945096876 natural
south 2008 fine_woody_litter above 0.00971040636292959 natural
south 2009 fine_woody_litter above 0.00917850083893622 natural
south 2010 fine_woody_litter above 0.00968159222662621 natural
south 2011 fine_woody_litter above 0.00968227205404491 natural
south 2012 fine_woody_litter above 0.00968413467902755 natural
south 2013 fine_woody_litter above 0.00968937900623523 natural
south 2014 fine_woody_litter above 0.00969108889272934 natural
south 2015 fine_woody_litter above 0.00969423266074551 natural
south 2016 fine_woody_litter above 0.00969737476257534 natural
south 2017 fine_woody_litter above 0.00969912084299515 natural
south 2018 fine_woody_litter above 0.00969982538464608 natural
south 2019 fine_woody_litter above 0.00970152412165035 natural
south 2020 fine_woody_litter above 0.00970146847673461 natural
south 2021 fine_woody_litter above 0.00970328654086536 natural
south 1990 fine_woody_litter below 0.0111902936214091 natural
south 1991 fine_woody_litter below 0.0111863781620662 natural
south 1992 fine_woody_litter below 0.0111837043151376 natural
south 1993 fine_woody_litter below 0.0111820709267369 natural
south 1994 fine_woody_litter below 0.0111811801886914 natural
south 1995 fine_woody_litter below 0.0111810317461469 natural
south 1996 fine_woody_litter below 0.0111816806811734 natural
south 1997 fine_woody_litter below 0.0127573227169194 natural
south 1998 fine_woody_litter below 0.014335288500648 natural
south 1999 fine_woody_litter below 0.0159552427176288 natural
south 2000 fine_woody_litter below 0.0175384660444323 natural
south 2001 fine_woody_litter below 0.0191629922472735 natural
south 2002 fine_woody_litter below 0.0191712516585588 natural
south 2003 fine_woody_litter below 0.0191811081670491 natural
south 2004 fine_woody_litter below 0.019191726907093 natural
south 2005 fine_woody_litter below 0.0192022916189148 natural
south 2006 fine_woody_litter below 0.0192124069304723 natural
south 2007 fine_woody_litter below 0.0192242472490069 natural
south 2008 fine_woody_litter below 0.0203674331006074 natural
south 2009 fine_woody_litter below 0.0212148855086666 natural
south 2010 fine_woody_litter below 0.0223777144256683 natural
south 2011 fine_woody_litter below 0.0223792857564451 natural
south 2012 fine_woody_litter below 0.02238359096668 natural
south 2013 fine_woody_litter below 0.0223957125324164 natural
south 2014 fine_woody_litter below 0.0223996647079233 natural
south 2015 fine_woody_litter below 0.0224069311101059 natural
south 2016 fine_woody_litter below 0.02241419366112 natural
