region year month mean_T sd_T cv
south 1993 3 -1.73278409090909 0.92847639931167 -53.5829249692933
north 1993 4 -1.46438035853468 1.25246782365309 -85.5288597906595
south 1993 4 1.95784090909091 1.03186077838901 52.7040156121845
north 1993 5 7.31870615744349 2.01675335936181 27.556146072495
south 1993 5 11.7400568181818 1.03158917853372 8.78691810874455
north 1993 6 8.67310989867498 1.09799217248839 12.6597285785129
south 1993 6 10.8205681818182 0.637146241932707 5.88828822319428
north 1993 7 14.6905689789556 0.650917919394523 4.43085574375622
south 1993 7 15.4452272727273 0.39091437328088 2.53097197197703
north 1993 8 11.3985970381917 0.723937423854692 6.35110989035837
south 1993 8 12.8134090909091 0.47336297933747 3.6942782048012
north 1993 9 3.0041309431021 0.784894492945274 26.1271731429517
south 1993 9 5.21954545454545 0.857945387463663 16.437166702256
north 1993 10 -2.21449727201871 1.8340449892024 -82.8199254239999
south 1993 10 2.09801136363636 1.17782308513722 56.139976434435
north 1993 11 -5.54505066250974 1.19849622096153 -21.6138010976997
south 1993 11 -4.76602272727273 1.67102317552751 -35.06116674529
north 1993 12 -9.45455962587685 1.42786532852471 -15.102399107164
south 1993 12 -5.28125 1.54166342721005 -29.1912601601903
north 1994 1 -13.807092751364 2.38670025541022 -17.2860449219075
south 1994 1 -7.07238636363636 2.01163443418551 -28.4435030943531
north 1994 2 -15.2676539360873 1.10935169552244 -7.26602594063474
south 1994 2 -15.02 1.38689882314859 -9.23368058021696
north 1994 3 -6.48854247856586 0.828886427785884 -12.7746166496407
south 1994 3 -4.01840909090909 0.816342299600042 -20.3150620340489
north 1994 4 1.90646921278254 0.895854687179382 46.9902519890084
south 1994 4 3.960625 0.660241532673265 16.6701349578227
north 1994 5 4.4394388152767 1.0718510080333 24.1438400805281
south 1994 5 7.00573863636364 0.763028599344916 10.8914796704573
north 1994 6 11.5398285268901 0.966972034741364 8.37943157030563
south 1994 6 12.5652272727273 0.550627276328153 4.38215134813586
north 1994 7 15.4455183164458 1.15418310297572 7.47260842484509
south 1994 7 18.2609659090909 0.710910808292902 3.89306245809805
north 1994 8 12.7040530007794 0.822167014281657 6.47169068195177
south 1994 8 14.5410227272727 0.684257380824328 4.70570326212993
north 1994 9 6.38612626656274 1.23649429186321 19.3621961146838
south 1994 9 9.49022727272727 0.910232372948496 9.59126000664172
north 1994 10 0.242400623538581 1.34328322893399 554.15832241875
south 1994 10 3.41488636363636 0.959880244470766 28.1087023771014
north 1994 11 -6.24621979734996 1.7155363219962 -27.4651929911919
south 1994 11 -2.30869318181818 1.4114525868609 -61.1364298199785
north 1994 12 -4.9310989867498 1.23770368576284 -25.0999561981748
south 1994 12 -2.16818181818182 1.6521762280995 -76.2010000381321
north 1995 1 -7.95479345284489 1.40708537458704 -17.6885218067331
south 1995 1 -4.70732954545455 1.13841282869661 -24.1838353933787
north 1995 2 -6.70303975058457 1.54432132349869 -23.0391192796374
south 1995 2 -2.51926136363636 1.28612153664961 -51.0515326124476
north 1995 3 -3.06352299298519 1.1020378500001 -35.9728930555942
south 1995 3 -0.819261363636364 0.635198840261939 -77.5331131743542
north 1995 4 -0.768667186282151 1.14792100651506 -149.339145341596
south 1995 4 1.76982954545455 0.726485832672001 41.048350364465
north 1995 5 5.01714731098987 1.51917611486823 30.2796792819006
south 1995 5 8.11193181818182 0.700592387941116 8.63656652501481
north 1995 6 14.0851909586906 1.25495542810606 8.90975089927161
south 1995 6 16.3673295454545 0.768314920000527 4.69419838994993
north 1995 7 12.826656274357 0.8749808802979 6.82158203652155
south 1995 7 14.7815909090909 0.636301647859802 4.30468987927725
north 1995 8 12.0307872174591 0.964281722008491 8.01511741982375
south 1995 8 14.531875 0.822288232768 5.6585143539151
north 1995 9 6.70865159781761 1.23585726853615 18.4218430561841
south 1995 9 9.62653409090909 0.746715703741436 7.75684890002731
north 1995 10 1.99516757599376 2.12327383115508 106.420826836939
south 1995 10 6.68363636363636 0.979427013774577 14.6541038513606
north 1995 11 -9.58581449727202 1.96564126239407 -20.5057302428862
south 1995 11 -3.86113636363636 1.43318933893043 -37.1183300446988
north 1995 12 -14.2446609508963 2.05746063127113 -14.4437318540858
south 1995 12 -10.1375568181818 1.64473205849464 -16.2241463894416
north 1996 1 -7.93951675759938 1.10306851133989 -13.8933960972383
south 1996 1 -6.86028409090909 1.2642578234695 -18.4286511566603
north 1996 2 -13.9373343725643 0.517088395140123 -3.71009535480482
south 1996 2 -12.4947727272727 1.17607181628078 -9.41251067107234
north 1996 3 -5.94723304754482 0.677805993738074 -11.3969973653192
south 1996 3 -4.52846590909091 0.517397089956083 -11.4254385556355
north 1996 4 -1.3742790335152 1.42230702051741 -103.494776958021
south 1996 4 1.67744318181818 0.721234214066148 42.996044330062
north 1996 5 3.76648480124708 1.83340447122615 48.6768052434225
south 1996 5 7.67454545454545 0.87873611896783 11.4500086574818
north 1996 6 10.9028838659392 1.19569538957942 10.9667809387092
south 1996 6 12.9904545454545 0.485397709065137 3.73657216817699
north 1996 7 13.0771628994544 0.730642480589179 5.58716356297483
south 1996 7 14.01125 0.381819087794775 2.72508939455634
north 1996 8 14.6853468433359 0.826550696299277 5.62840432110296
south 1996 8 16.5127840909091 0.693600389049708 4.20038429153544
north 1996 9 5.71091192517537 0.883859089477891 15.4766716954885
south 1996 9 7.76829545454545 0.798609823385458 10.2803739643832
north 1996 10 2.57544816835542 1.13513475091401 44.0752318319362
south 1996 10 5.44948863636364 0.98324205863197 18.0428316167308
north 1996 11 -2.9601714731099 2.52027268079282 -85.1394151888462
south 1996 11 1.61164772727273 1.06958340186635 66.3658306816418
north 1996 12 -11.2610288386594 1.11434114837222 -9.89555363313392
south 1996 12 -7.46965909090909 1.68147445304553 -22.5107254906982
north 1997 1 -11.6706157443492 1.57954510068163 -13.5343767225515
south 1997 1 -7.25017045454545 2.23824577375993 -30.8716296781226
north 1997 2 -10.4409197194076 1.53104679930508 -14.6639073994522
south 1997 2 -5.84397727272727 1.53161048442609 -26.2083579888961
north 1997 3 -5.68768511301637 1.22451092621224 -21.5291617218738
south 1997 3 -2.45568181818182 1.2104911828755 -49.2934863919684
north 1997 4 -3.9846453624318 1.48080477172043 -37.1627745264815
south 1997 4 -0.0401136363636364 1.05831878250744 -2638.30178075509
north 1997 5 4.00600155884645 1.01549761400691 25.3494063616722
south 1997 5 6.88357954545455 0.750309941211993 10.8999966697188
north 1997 6 13.2509742790335 1.07594107926326 8.1197129856759
south 1997 6 15.6438068181818 0.691585293717806 4.42082481429021
north 1997 7 16.533982852689 1.05322413682418 6.37005702865412
south 1997 7 18.0172727272727 0.460426495496211 2.55547275364969
north 1997 8 14.0231488698363 0.830729280648564 5.92398532140992
south 1997 8 16.8111363636364 0.97778093580658 5.81626913646116
north 1997 9 7.81675759937646 0.707056979487047 9.04539984127752
south 1997 9 9.68357954545455 0.753394987581574 7.78012907360498
north 1997 10 -0.886905689789556 0.895385995424451 -100.956167688687
south 1997 10 1.67619318181818 0.936121355256367 55.8480588878752
north 1997 11 -5.80046765393609 1.81176595645608 -31.2348256131839
south 1997 11 -1.70994318181818 1.37882467072808 -80.635700962998
north 1997 12 -8.53616523772408 1.4261929984315 -16.7076545347165
south 1997 12 -5.21926136363636 1.99830756131088 -38.2871717295762
north 1998 1 -9.8564302416212 2.12032627270788 -21.5121115934477
south 1998 1 -4.06914772727273 1.5548114764992 -38.2097574408114
north 1998 2 -16.1385814497272 2.80698930133044 -17.3930361232454
south 1998 2 -8.49551136363636 3.18581586190316 -37.4999894125211
north 1998 3 -9.45502727981294 1.19534167141605 -12.6423926239555
south 1998 3 -6.46039772727273 1.5875313127298 -24.5732752029802
north 1998 4 -2.80927513639906 1.39698796387041 -49.7277018462873
