region year tkg species component ddiff12 bm
1 2002 1 2 3 -5172.101358 7.27083795639634
1 2002 2 2 7 -5172.101358 7.0469586175536
1 2002 2 2 3 -5172.101358 5.66385580160091
1 2002 4 2 7 -5172.101358 1.3924461979478
1 2002 4 2 3 -5172.101358 1.09836911516116
1 2002 6 2 7 -5172.101358 0.152805630013378
1 2002 6 2 3 -5172.101358 0.114978390741246
1 2002 7 2 7 -5172.101358 0
1 2002 7 2 3 -5172.101358 0
1 2002 1 3 7 -5172.101358 8.26930544613017
1 2002 1 3 3 -5172.101358 5.34213302048598
1 2002 2 3 7 -5172.101358 6.18481433012434
1 2002 2 3 3 -5172.101358 3.57584275895603
1 2002 4 3 7 -5172.101358 3.59509206604437
1 2002 4 3 3 -5172.101358 1.94122830539212
1 2002 6 3 7 -5172.101358 0.894012406849403
1 2002 6 3 3 -5172.101358 0.452229216057959
1 2002 7 3 7 -5172.101358 0.306267151725942
1 2002 7 3 3 -5172.101358 0.306598963019637
1 2002 1 1 8 -5172.101358 9.19891574591919
1 2002 1 1 4 -5172.101358 0.475337913699634
1 2002 2 1 8 -5172.101358 23.5645005310972
1 2002 2 1 4 -5172.101358 1.3301346695641
1 2002 4 1 8 -5172.101358 35.8415250956194
1 2002 4 1 4 -5172.101358 2.34076316723144
1 2002 6 1 8 -5172.101358 27.1678454396081
1 2002 6 1 4 -5172.101358 2.25090772835902
1 2002 7 1 8 -5172.101358 9.9134240093548
1 2002 7 1 4 -5172.101358 1.07195387933306
1 2002 1 2 8 -5172.101358 39.4573441810693
1 2002 1 2 4 -5172.101358 5.16239268964115
1 2002 2 2 8 -5172.101358 30.4173268238878
1 2002 2 2 4 -5172.101358 4.25105739050963
1 2002 4 2 8 -5172.101358 5.22416653717287
1 2002 4 2 4 -5172.101358 0.937385060518104
1 2002 6 2 8 -5172.101358 0.495888602770619
1 2002 6 2 4 -5172.101358 0.100387907415473
1 2002 7 2 8 -5172.101358 0
1 2002 7 2 4 -5172.101358 0
1 2002 1 3 8 -5172.101358 36.4560091440058
1 2002 1 3 4 -5172.101358 1.49248190518179
1 2002 2 3 8 -5172.101358 24.3641901322347
1 2002 2 3 4 -5172.101358 1.05791255871494
1 2002 4 3 8 -5172.101358 12.3696278351218
1 2002 4 3 4 -5172.101358 0.679840713821149
1 2002 6 3 8 -5172.101358 2.70802446760414
1 2002 6 3 4 -5172.101358 0.183204418192635
