region tkg species component year bm
1 7 2 7 1998 0.00455072115065224
1 7 3 1 1998 0.0749183157899324
1 7 3 2 1998 0.0167422538898252
1 7 3 3 1998 0.0385113100608316
1 7 3 4 1998 0.0232946672433172
1 7 3 5 1998 0.00106702389042837
1 7 3 6 1998 0.0108249382765773
1 7 3 7 1998 0.0324780083589557
2 1 1 1 1998 4.06971370659797
2 1 1 2 1998 0.456171329476333
2 1 1 3 1998 1.09010842826496
2 1 1 4 1998 0.470921743257838
2 1 1 5 1998 0.237317329484364
2 1 1 6 1998 0.446642078211282
2 1 1 7 1998 1.24578628580556
2 1 2 1 1998 5.79366205104111
2 1 2 2 1998 0.913573189760233
2 1 2 3 1998 2.82640836625093
2 1 2 4 1998 2.1304134290314
2 1 2 5 1998 0.286085540424287
2 1 2 6 1998 0.740925648237405
2 1 2 7 1998 3.07857906710923
2 1 3 1 1998 19.3712949089756
2 1 3 2 1998 3.78132358194993
2 1 3 3 1998 5.37578170868844
2 1 3 4 1998 1.83656458402134
2 1 3 5 1998 0.413317738644271
2 1 3 6 1998 2.45471042830059
2 1 3 7 1998 7.6830977131943
2 2 1 1 1998 9.28114863370017
2 2 1 2 1998 1.15873723194826
2 2 1 3 1998 2.42260895668983
2 2 1 4 1998 1.08895299433712
2 2 1 5 1998 0.527682493932895
2 2 1 6 1998 1.01755965328091
2 2 1 7 1998 2.76594987681474
2 2 2 1 1998 6.24103877631678
2 2 2 2 1998 0.940459460433624
2 2 2 3 1998 2.70673911986159
2 2 2 4 1998 2.07562311729564
2 2 2 5 1998 0.320767306150433
2 2 2 6 1998 0.742206657185822
2 2 2 7 1998 3.1752159046303
2 2 3 1 1998 11.2306557866486
2 2 3 2 1998 2.27359554833622
2 2 3 3 1998 3.1472529360224
2 2 3 4 1998 1.09768890050886
2 2 3 5 1998 0.219745288433704
2 2 3 6 1998 1.5672345678885
2 2 3 7 1998 4.93402050132714
2 4 1 1 1998 11.8006439987425
2 4 1 2 1998 1.74165687996414
2 4 1 3 1998 3.37569372406056
2 4 1 4 1998 1.59633179914332
2 4 1 5 1998 0.728266936896463
2 4 1 6 1998 1.34438904131411
2 4 1 7 1998 3.50288468830988
2 4 2 1 1998 1.11487908885487
2 4 2 2 1998 0.203030246451244
2 4 2 3 1998 0.638338291946874
2 4 2 4 1998 0.542477885469927
2 4 2 5 1998 0.0663004815348379
2 4 2 6 1998 0.164285070082612
2 4 2 7 1998 0.753864990688085
2 4 3 1 1998 3.52909567887207
2 4 3 2 1998 0.75652694871733
2 4 3 3 1998 1.12383126921444
2 4 3 4 1998 0.439466499673971
2 4 3 5 1998 0.094770693563986
2 4 3 6 1998 0.610913115966633
2 4 3 7 1998 1.8403390936515
2 6 1 1 1998 7.59490255595327
2 6 1 2 1998 1.42956380913931
2 6 1 3 1998 2.54307832748631
2 6 1 4 1998 1.26967154511918
2 6 1 5 1998 0.607910039837391
2 6 1 6 1998 0.950387834566236
2 6 1 7 1998 2.37727184365605
2 6 2 1 1998 0.19877138245668
2 6 2 2 1998 0.0425218694809704
2 6 2 3 1998 0.149074103178021
2 6 2 4 1998 0.134612541459119
2 6 2 5 1998 0.0120641416295202
2 6 2 6 1998 0.0353292426645422
2 6 2 7 1998 0.168701681398072
2 6 3 1 1998 0.777463717654513
2 6 3 2 1998 0.180073728031363
2 6 3 3 1998 0.318505899904293
2 6 3 4 1998 0.135700767527085
2 6 3 5 1998 0.0278734448120915
2 6 3 6 1998 0.19481389227007
2 6 3 7 1998 0.499698452277022
2 7 1 1 1998 4.39971076138169
2 7 1 2 1998 1.12414645021051
2 7 1 3 1998 1.29896598524416
2 7 1 4 1998 0.817851673575616
2 7 1 5 1998 0.472994636186983
2 7 1 6 1998 0.524434845620808
2 7 1 7 1998 1.2672046960833
2 7 2 1 1998 1.15641025105455
2 7 2 2 1998 0.380902390597479
2 7 2 3 1998 0.283958308099651
2 7 2 4 1998 0.222197912259704
2 7 2 5 1998 0.125362568287745
2 7 2 6 1998 0.125924939021781
2 7 2 7 1998 0.285728811451549
2 7 3 1 1998 0.0697383422492739
2 7 3 2 1998 0.0145398874697615
2 7 3 3 1998 0.0326259831309916
2 7 3 4 1998 0.0309500995001847
2 7 3 5 1998 0.0012726959314033
2 7 3 6 1998 0.0118826375873592
2 7 3 7 1998 0.0309664039193596
1 1 1 1 1999 6.50341875265319
1 1 1 2 1999 0.459696980977449
1 1 1 3 1999 1.14521959308697
1 1 1 4 1999 0.425259320057897
1 1 1 5 1999 0.311596888317297
1 1 1 6 1999 0.578193388415118
1 1 1 7 1999 1.80284727070059
1 1 2 1 1999 22.4751218548571
1 1 2 2 1999 2.7517792502626
1 1 2 3 1999 7.49519140939021
1 1 2 4 1999 5.19480945136546
1 1 2 5 1999 0.93860409694417
1 1 2 6 1999 2.36067851172223
1 1 2 7 1999 9.06088240930255
1 1 3 1 1999 23.0928082807348
1 1 3 2 1999 3.80658374373293
1 1 3 3 1999 5.09916267790243
1 1 3 4 1999 1.45742392233236
1 1 3 5 1999 0.195233544476331
1 1 3 6 1999 2.28888820561216
1 1 3 7 1999 7.86963006399078
1 2 1 1 1999 18.0840021114288
1 2 1 2 1999 1.47472105568265
1 2 1 3 1999 3.32826110351645
1 2 1 4 1999 1.30100327700186
1 2 1 5 1999 0.769224545209892
1 2 1 6 1999 1.64721452425261
1 2 1 7 1999 4.9158815024184
1 2 2 1 1999 16.1487925610338
1 2 2 2 1999 2.08748579717654
1 2 2 3 1999 5.54963096295051
1 2 2 4 1999 4.11581569214302
1 2 2 5 1999 0.728816692118205
1 2 2 6 1999 1.69780156221068
1 2 2 7 1999 6.89351904364347
1 2 3 1 1999 15.7650451492875
1 2 3 2 1999 2.71909417852264
1 2 3 3 1999 3.54707806802314
1 2 3 4 1999 1.06792775773225
1 2 3 5 1999 0.158160087271759
1 2 3 6 1999 1.79352085729796
1 2 3 7 1999 6.12980404045054
1 4 1 1 1999 26.8875748947818
1 4 1 2 1999 2.62950214777061
1 4 1 3 1999 5.41994472044989
1 4 1 4 1999 2.30808287982454
1 4 1 5 1999 1.20838411565618
1 4 1 6 1999 2.54135981855862
1 4 1 7 1999 7.17629605183408
1 4 2 1 1999 2.47132111345091
1 4 2 2 1999 0.391326181752564
1 4 2 3 1999 1.10936842578639
1 4 2 4 1999 0.934784356558684
1 4 2 5 1999 0.132127810525919
1 4 2 6 1999 0.320102621675115
1 4 2 7 1999 1.42782246375381
1 4 3 1 1999 7.86555308779741
1 4 3 2 1999 1.45083452320609
1 4 3 3 1999 1.94858076017785
1 4 3 4 1999 0.679904681172306
1 4 3 5 1999 0.119140937534049
1 4 3 6 1999 1.0435787826225
1 4 3 7 1999 3.54316121421773
1 6 1 1 1999 18.3895330600946
1 6 1 2 1999 2.47342108645427
1 6 1 3 1999 4.68064143240422
1 6 1 4 1999 2.18252489301826
1 6 1 5 1999 1.00019705788111
1 6 1 6 1999 1.9538821905218
1 6 1 7 1999 5.16052383108221
1 6 2 1 1999 0.165023379232753
1 6 2 2 1999 0.0336416392695436
1 6 2 3 1999 0.0950585509883934
1 6 2 4 1999 0.0873822308287383
1 6 2 5 1999 0.0134165349605939
1 6 2 6 1999 0.0293839073442805
1 6 2 7 1999 0.143523147724747
1 6 3 1 1999 1.50001673565376
1 6 3 2 1999 0.320211767129107
1 6 3 3 1999 0.437235445727415
1 6 3 4 1999 0.174859062207528
1 6 3 5 1999 0.0493202915419153
1 6 3 6 1999 0.281579923947739
1 6 3 7 1999 0.877015594671046
1 7 1 1 1999 6.04780508185369
1 7 1 2 1999 1.17151384351085
1 7 1 3 1999 2.08347085942874
1 7 1 4 1999 1.0573962486646
1 7 1 5 1999 0.465086765061671
1 7 1 6 1999 0.756760688378718
1 7 1 7 1999 1.87208987176365
1 7 2 1 1999 0
1 7 2 2 1999 0
1 7 2 3 1999 0
1 7 2 4 1999 0
1 7 2 5 1999 0
1 7 2 6 1999 0
1 7 2 7 1999 0
1 7 3 1 1999 0.145346283823573
1 7 3 2 1999 0.0303725691514025
1 7 3 3 1999 0.0669128843480152
1 7 3 4 1999 0.0362775996387173
1 7 3 5 1999 0.0010324036865831
1 7 3 6 1999 0.0199887547376984
1 7 3 7 1999 0.0586718074810364
2 1 1 1 1999 4.00339413627297
2 1 1 2 1999 0.444891347607494
2 1 1 3 1999 1.06673552101728
2 1 1 4 1999 0.460331170367991
2 1 1 5 1999 0.231105792782193
2 1 1 6 1999 0.437970268178452
2 1 1 7 1999 1.22443741953453
2 1 2 1 1999 6.01882059837287
2 1 2 2 1999 0.943945477327993
2 1 2 3 1999 2.9266383332512
2 1 2 4 1999 2.20508267148668
2 1 2 5 1999 0.29424023955225
2 1 2 6 1999 0.765232214435592
2 1 2 7 1999 3.17352889178017
2 1 3 1 1999 19.8805299178614
2 1 3 2 1999 3.80844816845376
2 1 3 3 1999 5.43821686004892
2 1 3 4 1999 1.84278408215494
2 1 3 5 1999 0.417478018826332
2 1 3 6 1999 2.49012495861294
2 1 3 7 1999 7.82838613548447
2 2 1 1 1999 9.73602853090182
